extension,UTI,preferred_extension
c,public.c-source,c
f,public.fortran-source,f
h,public.c-header,h
i,public.c-source.preprocessed,i
l,public.lex-source,l
m,public.objective-c-source,m
o,public.object-code,o
r,com.apple.rez-source,r
s,public.assembly-source,s
y,public.yacc-source,y
z,public.z-archive,z
aa,com.audible.aa-audiobook,aa
ai,com.adobe.illustrator.ai-image,ai
as,com.apple.applesingle-archive,as
au,public.au-audio,au
bz,public.bzip2-archive,bz2
cc,public.c-plus-plus-source,cp
cl,public.opencl-source,cl
cp,public.c-plus-plus-source,cp
dd,com.symantec.diskdoubler-archive,dd
dv,public.dv-movie,dv
el,org.gnu.emacs-lisp,el
fs,org.khronos.glsl.fragment-shader,fs
gs,org.khronos.glsl.geometry-shader,gs
gz,org.gnu.gnu-zip-archive,gz
hh,public.c-plus-plus-header,hh
hp,public.c-plus-plus-header,hh
ii,public.c-plus-plus-source.preprocessed,ii
it,org.videolan.it,it
js,com.netscape.javascript-source,js
ll,public.lex-source,l
lm,public.lex-source,l
md,net.daringfireball.markdown,md
mi,public.objective-c-source.preprocessed,mi
mk,public.make-source,make
mm,public.objective-c-plus-plus-source,mm
nw,com.intel.nw.app,nw
pf,com.apple.colorsync-profile,icc
pl,public.perl-script,pl
pm,public.perl-script,pl
ps,com.adobe.postscript,ps
py,public.python-script,py
qt,com.apple.quicktime-movie,mov
ra,com.real.realaudio,ram
rb,public.ruby-script,rb
rm,com.real.realmedia,rm
sh,public.shell-script,sh
tl,com.tascam.opentl,tl
tp,org.videolan.mpeg-stream,m2p
ts,public.mpeg-2-transport-stream,ts
ul,public.ulaw-audio,ul
uu,public.uuencoded-archive,uu
vs,org.khronos.glsl.vertex-shader,vs
wm,com.microsoft.windows-media-wm,wm
wv,org.videolan.wv,wv
xa,org.videolan.xa,xa
xm,org.videolan.xm,xm
xz,org.tukaani.xz-archive,xz
ym,public.yacc-source,y
yy,public.yacc-source,y
7z,org.7-zip.7-zip-archive,7z
aac,public.aac-audio,aac
aae,com.apple.photos.apple-adjustment-envelope,aae
aaf,org.aafassociation.advanced-authoring-format,aaf
aar,com.apple.archive,aar
aax,com.audible.aax-audiobook,aax
abc,public.alembic,abc
ac3,public.ac3-audio,ac3
ada,public.ada-source,ada
adb,public.ada-source,ada
ads,public.ada-source,ada
aea,com.apple.encrypted-archive,aea
aif,public.aiff-audio,aiff
amr,org.3gpp.adaptive-multi-rate-audio,amr
aob,org.videolan.aob,aob
ape,org.videolan.ape,ape
app,com.apple.application-file,app
arj,org.7-zip.arj-archive,arj
arw,com.sony.arw-raw-image,arw
asf,com.microsoft.advanced-systems-format,asf
asx,com.microsoft.advanced-stream-redirector,asx
avi,public.avi,avi
axa,org.videolan.axa,axa
axv,org.videolan.axv,axv
bdm,public.avchd-content,bdm
bin,com.apple.macbinary-archive,bin
bmp,com.microsoft.bmp,bmp
bwf,com.microsoft.waveform-audio,wav
bz2,public.bzip2-archive,bz2
cab,com.microsoft.cab,cab
caf,com.apple.coreaudio-format,caf
cbr,com.macitbetter.cbr-archive,cbr
cbz,com.macitbetter.cbz-archive,cbz
ccl,com.apple.color-file,clr
cdd,com.dekorra.clarisdraw,ddrw
cdr,com.apple.disk-image-cdr,dvdr
cel,public.flc-animation,flc
cer,public.x509-certificate,cer
chm,com.microsoft.chm-archive,chm
clp,com.apple.clips-source,clp
clr,com.apple.color-file,clr
